S.No,State/UT,Fatal Accidents - 2016,Fatal Accidents - 2017,Fatal Accidents - 2018,Accidents - 2016,Accidents - 2017,Accidents - 2018 - Number,Accidents - 2018 - Rank,Killed - 2016,Killed - 2017,Killed - 2018 - Number,Killed - 2018 - Rank,Injured - 2016,Injured - 2017,Injured - 2018
1,Andhra Pradesh,3328,3192,2619,11078,11526,9955,9,3518,3350,2730,9,13707,12793,9121
2,Arunachal Pradesh,37,33,46,79,83,94,28,47,35,61,28,148,107,109
3,Assam,616,710,716,1958,2277,2174,18,596,762,744,19,1697,1880,1976
4,Bihar,1299,1422,2075,2650,2714,3495,16,1451,1600,2204,10,1954,1966,2455
5,Chhattisgarh,1622,1836,2049,6374,6483,6733,11,1801,2020,2140,12,5954,6027,6257
6,Goa,179,154,127,2510,1920,1953,20,188,165,133,23,1384,963,829
7,Gujarat,2975,2673,3137,10933,9324,9820,10,3207,2768,3348,8,9857,8839,8938
8,Haryana,1619,1777,1478,4529,4575,3654,15,1936,1761,1544,15,4975,3994,3968
9,Himachal Pradesh,328,320,359,873,877,1005,22,433,418,497,20,1811,1595,1845
10,Jammu & Kashmir,375,347,387,2842,2783,3196,17,485,415,476,21,4095,3813,4289
11,Jharkhand,633,945,1199,1293,1692,2092,19,823,971,1281,17,1010,1566,1503
12,Karnataka,3697,3505,3740,18008,17132,17384,5,3921,3715,3946,5,21252,20816,20515
13,Kerala,2072,1912,2105,23076,22433,23468,2,2139,1985,2179,11,25585,24768,26241
14,Madhya Pradesh,4045,4285,4509,28807,27898,27520,1,4042,4683,4925,3,29820,30119,28915
15,Maharashtra,5070,4729,5450,20462,18108,18607,4,5412,5005,5727,2,18162,16003,15880
16,Manipur,18,9,14,96,62,66,31,19,10,16,31,162,96,98
17,Meghalaya,50,18,88,180,136,272,25,20,20,103,25,111,79,167
18,Mizoram,8,14,13,10,16,17,35,8,16,16,31,6,26,15
19,Nagaland,9,11,10,18,71,75,30,11,7,14,33,35,34,68
20,Orissa,1090,1103,1591,2990,2923,3951,14,1184,1115,1841,14,3194,2919,4049
21,Punjab,1827,1386,1171,2737,2139,1731,21,1998,1485,1237,18,1739,1392,896
22,Rajasthan,4453,4164,4231,12804,11893,11513,8,4800,4405,4521,4,13193,11434,11046
23,Sikkim,7,17,4,50,63,32,34,11,21,9,34,86,152,73
24,Tamil Nadu,4988,4424,3322,25453,22339,21488,3,5138,4574,3439,6,27990,24352,23782
25,Telangana,3370,3101,3134,12555,12378,12222,7,3608,3285,3374,7,12975,12681,12563
26,Tripura,44,31,62,137,99,178,27,44,30,64,27,166,118,225
27,Uttarakhand,102,148,133,181,363,310,24,154,179,150,22,185,349,385
28,Uttar Pradesh,4407,5602,5341,10819,12921,12582,6,5641,6216,6259,1,7896,9039,9207
29,West Bengal,2298,2184,1983,5319,5015,6166,12,2358,2340,2126,13,4021,3851,5258
30,A & N Islands,8,5,5,129,79,60,32,9,5,5,35,136,95,63
31,Chandigarh,120,88,80,381,309,270,26,127,91,82,26,307,273,265
32,D & N Haveli,40,40,30,70,67,47,33,46,43,32,30,130,60,43
33,Daman & Diu,30,31,34,65,70,76,29,36,31,35,29,86,68,94
34,Delhi,1327,1300,1399,6652,5918,5732,13,1353,1317,1427,16,6504,5844,5382
35,Lakshadweep,1,0,1,1,1,3,36,1,0,1,36,0,1,3
36,Puducherry,76,70,105,519,599,690,23,78,77,105,24,535,659,694
Total,Total,52168,51586,52747,216638,207286,208631,NA,56643,54920,56791,NA,220868,208771,207217
